what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890806987
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890810931
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890817601
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890824186
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890826571
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890832012
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890833454
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890836275
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890837569
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890838841
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890838911
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890841215
